SecFrom20170901	location	place	none
845119	0	4	89
845118	2	10	75
845117	1	2	82
845116	1	8	95
845115	0	4	83
845114	0	3	79
845113	2	1	87
845112	1	5	88
845111	0	5	70
845110	0	3	75
845109	0	6	79
845108	0	7	94
845107	0	2	81
845106	0	3	76
845105	1	4	108
845104	0	1	85
845103	0	6	93
845102	0	6	75
845101	1	3	80
845100	0	5	120
845099	1	7	80
845098	0	6	88
845097	0	3	104
845096	1	2	81
845095	1	2	57
845094	1	4	77
845093	0	6	78
845092	0	6	78
845091	1	0	92
845090	0	7	78
845089	0	7	72
845088	1	2	77
845087	0	6	78
845086	1	4	82
845085	1	8	62
845084	0	8	87
845083	0	1	74
845082	0	3	73
845081	0	5	84
845080	0	9	78
845079	0	4	89
845078	0	9	80
845077	0	3	78
845076	0	7	73
845075	1	4	73
845074	1	5	78
845073	1	8	63
845072	0	6	76
845071	0	10	71
845070	1	6	76
845069	2	5	69
845068	1	4	103
845067	0	4	90
845066	0	6	88
845065	0	3	94
845064	1	5	69
845063	1	5	85
845062	0	2	68
845061	0	7	76
845060	0	8	66
845059	1	5	80
845058	0	4	70
845057	1	9	84
845056	0	2	83
845055	1	5	72
845054	0	2	67
845053	0	7	75
845052	0	7	73
845051	2	1	77
845050	3	4	80
845049	2	5	65
845048	0	4	87
845047	0	5	74
845046	1	5	82
845045	1	2	78
845044	0	3	79
845043	1	5	84
845042	1	7	83
845041	1	7	64
845040	0	4	71
845039	0	5	76
845038	0	0	55
845037	0	8	65
845036	0	1	79
845035	1	6	77
845034	0	4	79
845033	0	2	93
845032	1	4	88
845031	2	1	83
845030	0	6	66
845029	0	6	89
845028	0	7	90
845027	0	5	80
845026	0	5	88
845025	0	2	64
845024	0	6	86
845023	2	1	86
845022	1	6	78
845021	0	8	65
845020	0	6	82
845019	1	0	72
845018	1	5	79
845017	0	3	88
845016	1	6	59
845015	1	2	74
845014	0	2	75
845013	0	3	63
845012	1	6	81
845011	0	5	70
845010	1	4	64
845009	0	7	74
845008	0	5	77
845007	0	8	77
845006	1	1	69
845005	0	7	64
845004	0	9	81
845003	0	4	73
845002	1	4	79
845001	1	5	74
845000	1	4	75
844999	0	2	85
844998	1	1	80
844997	0	1	78
844996	0	10	76
844995	0	4	76
844994	0	2	90
844993	1	7	71
844992	0	6	78
844991	1	1	84
844990	1	4	96
844989	2	5	85
844988	0	3	70
844987	2	9	82
844986	1	7	72
844985	0	1	85
844984	0	5	94
844983	0	8	81
844982	0	5	82
844981	0	3	84
844980	1	3	79
844979	0	2	83
844978	0	7	79
844977	1	5	80
844976	1	5	69
844975	0	7	75
844974	0	4	84
844973	0	6	79
844972	0	1	67
844971	0	7	77
844970	0	8	80
844969	1	6	71
844968	0	2	72
844967	0	4	68
844966	1	12	71
844965	0	1	71
844964	0	4	65
844963	0	4	57
844962	0	3	73
844961	1	3	71
844960	0	6	75
844959	0	3	101
844958	0	4	80
844957	0	1	79
844956	0	2	95
844955	0	5	84
844954	0	7	74
844953	2	3	78
844952	0	0	85
844951	0	3	78
844950	0	7	76
844949	2	3	70
844948	2	6	78
844947	0	6	86
844946	0	3	74
844945	1	7	87
844944	0	4	79
844943	0	7	58
844942	0	4	73
844941	1	5	79
844940	1	2	75
844939	0	9	84
844938	0	8	73
844937	1	4	83
844936	1	4	92
844935	0	6	79
844934	0	8	66
844933	0	7	86
844932	0	5	60
844931	0	7	76
845907	1	5	87
845906	0	3	83
845905	0	5	78
845904	0	1	69
845903	1	3	89
845902	0	7	80
845901	0	8	91
845900	0	5	81
845899	0	4	71
845898	1	6	76
845897	0	7	75
845896	0	5	74
845895	0	5	67
845894	0	3	83
845893	1	9	77
845892	0	4	76
845891	1	2	85
845890	0	4	83
845889	1	4	69
845888	0	3	87
845887	1	13	64
845886	2	4	74
845885	1	3	72
845884	0	6	85
845883	0	4	84
845882	2	7	94
845881	2	4	77
845880	1	8	64
845879	0	4	67
845878	0	7	87
845877	0	10	85
844930	2	6	79
844929	4	8	76
844928	1	5	62
844927	0	6	74
844926	0	4	72
844925	0	3	68
844924	0	6	89
844923	1	5	76
844922	2	3	90
844921	0	5	91
844920	0	1	84
844919	0	5	77
844918	1	3	80
844917	1	3	87
844916	1	4	84
844915	1	8	79
844914	0	9	75
844913	0	3	85
844912	1	4	77
844911	0	4	70
844910	2	5	84
844909	2	5	71
844908	0	5	71
844907	1	5	71
844906	0	1	82
844905	2	7	82
844904	0	4	68
844903	1	6	78
844902	1	5	64
844901	0	8	98
844900	0	7	82
844899	0	5	80
844898	0	7	65
844897	1	6	70
844896	1	3	69
844895	0	2	67
844894	1	3	87
844893	0	9	86
844892	1	7	79
844891	0	4	63
844890	1	2	74
844889	0	5	83
844888	1	5	78
844887	1	7	73
844886	0	7	77
844885	1	6	66
844884	2	6	85
844883	1	5	91
844882	0	6	80
844881	0	3	66
844880	2	4	71
844879	0	3	76
844878	0	6	77
844877	0	5	71
844876	1	5	88
844875	2	3	73
844874	1	5	79
844873	1	5	76
844872	0	1	72
844871	0	9	69
844870	0	2	92
844869	0	7	82
844868	3	7	73
844867	0	5	76
844866	1	7	87
844865	0	2	74
844864	2	5	96
844863	1	7	91
844862	0	4	92
844861	0	5	70
844860	0	4	72
844859	0	3	75
844858	0	8	73
844857	1	5	74
844856	0	3	75
844855	1	4	86
844854	0	6	84
844853	5	3	70
844852	0	2	66
844851	0	3	88
844850	0	10	78
844849	0	5	90
844848	1	8	89
844847	1	5	80
844846	0	2	82
844845	1	2	73
844844	1	4	81
844843	0	4	73
844842	0	6	60
844841	0	3	85
844840	3	4	73
844839	1	7	67
844838	1	2	79
844837	0	6	85
844836	0	3	66
844835	0	6	87
844834	0	3	85
844833	1	7	73
844832	0	3	87
844831	1	7	74
844830	0	4	82
844829	1	8	92
844828	1	2	80
844827	0	7	76
844826	0	6	84
844825	0	5	70
844824	0	3	60
844823	1	2	85
844822	1	10	83
844821	0	4	78
844820	1	6	70
844819	0	4	72
844818	0	4	73
844817	2	5	79
844816	0	8	92
844815	1	6	84
844814	1	1	86
844813	1	4	80
844812	0	3	77
844811	0	7	92
844810	0	5	68
844809	0	3	71
844808	0	10	74
844807	0	7	77
844806	0	4	86
844805	1	4	101
844804	0	5	82
844803	1	4	98
844802	0	4	78
844801	0	5	79
844800	0	7	78
844799	0	9	63
844798	0	4	80
844797	1	8	67
844796	2	4	75
844795	0	6	68
844794	0	4	60
844793	1	2	59
844792	0	2	78
844791	0	6	71
844790	0	3	90
844789	1	9	70
844788	1	5	92
844787	0	5	82
844786	0	7	78
844785	0	3	70
844784	1	6	79
844783	0	3	72
844782	0	9	64
844781	0	5	77
844780	1	3	73
844779	0	5	77
844778	0	3	73
844777	0	9	79
844776	1	5	70
844775	0	4	69
844774	0	5	76
844773	0	8	68
844772	2	10	79
844771	0	4	89
844770	1	0	63
844769	0	6	61
844768	1	3	89
844767	0	1	70
844766	1	11	78
844765	0	1	67
844764	0	9	71
844763	1	2	86
844762	0	2	75
844761	0	5	65
844760	1	4	88
844759	1	6	92
844758	0	11	70
844757	1	4	83
844756	2	4	80
844755	1	5	66
844754	0	3	80
844753	0	2	80
844752	0	5	57
844751	1	5	72
844750	0	8	78
844749	2	7	92
844748	0	4	75
844747	0	8	71
844746	0	3	74
844745	1	6	62
844744	1	6	84
844743	0	6	73
844742	2	6	82
844741	1	7	86
844740	0	6	78
844739	0	8	71
844738	0	0	85
844737	0	6	74
844736	0	5	81
844735	0	8	74
844734	1	3	90
844733	1	6	54
844732	1	5	73
844731	0	4	80
844730	0	5	66
844729	1	4	72
844728	0	4	98
844727	0	6	73
844726	0	5	78
844725	0	6	74
844724	1	9	69
844723	0	4	74
844722	0	5	99
844721	0	6	87
844720	0	4	63
844719	0	7	88
844718	0	7	84
844717	1	5	75
844716	1	2	78
844715	1	12	79
844714	2	5	101
844713	0	7	57
844712	0	9	75
844711	2	5	84
844710	0	6	66
844709	1	4	65
844708	1	4	75
844707	0	5	73
